state_fips,n_records,weighted_pop,mean_pretax_income,median_pretax_income,mean_posttax_income,median_posttax_income,mean_market_income,median_market_income,mean_means_tested,median_means_tested,mean_social_insurance,median_social_insurance,mean_capital_income,median_capital_income,mean_federal_taxes,median_federal_taxes,mean_tax_credits,median_tax_credits,gini,pct_receiving_SSI_VAL,pct_receiving_PAW_VAL,bottom_50_mean_income,state_name,transfer_dependency,capital_share,b50_relative,gini_norm,transfer_dependency_z,capital_share_z,b50_relative_z,gini_norm_z,exposure_index,treatment_group
13,2527,8999675.329999998,51419.01038171785,32002.0,41995.04278498234,28896.0,46517.5152233964,30000.0,594.09794119873,0.0,4901.495158321452,0.0,4414.928265112205,0.0,8114.074840270935,2678.0,587.9674080742645,0.0,0.5915056145207286,2.6647912419747266,0.3336783705951757,10683.606913795,Georgia,0.1068786244372014,0.0858617898776586,0.7795705306311993,0.9322880109601054,-0.09968853210286945,-0.42795905442441873,-1.0474796047174462,0.9465315518788034,0.532853063718653,High Exposure
15,2108,1172028.64,54881.98060649781,39329.0,43994.127781911535,32497.0,49059.273616999664,30000.0,600.420710256705,0.0,5822.70698949814,0.0,5756.73076130631,5.0,8815.950753242685,3060.0,608.287714504997,0.0,0.5712693286221132,2.153957602947313,1.0065513416122662,13273.464072677782,Hawaii,0.11703527512624738,0.10489291198475326,0.9685494340951873,0.9003930529639306,0.36872786378638367,0.7309230876587375,-0.1732794771250378,0.216012920865016,0.1146027164869382,Medium Exposure
16,2045,1576951.52,47333.69017324007,32000.0,39659.93005358845,28321.0,42256.00435291124,27000.0,611.56868902349,0.0,5077.685820328832,0.0,3763.33610744102,3.0,6865.1722972942125,2505.0,723.4364380459838,0.0,0.5514639446850393,1.5519640071116454,0.3620954688575334,12018.040455794562,Idaho,0.12019461167151343,0.07950650147215034,0.8769426141253441,0.8691772512137533,0.5144338729071656,-0.8149583180246476,-0.5970447347175728,-0.49895038973950456,0.381618945688576,Medium Exposure
17,3116,10403399.47,59413.49174773061,38001.5,47276.66488726498,32773.5,54723.18580130328,33682.0,754.3131543895239,0.0,4690.3059464273365,0.0,5261.287207943771,5.0,10377.596668583948,3488.0,552.699167290555,0.0,0.5658530674901152,1.632465719400084,0.8387041202408044,14672.376166648395,Illinois,0.09163943980829618,0.08855374517093138,1.0706264434987176,0.8918563371769092,-0.8025072229003567,-0.2640349884074673,0.29891997481972615,0.020488915759362885,-0.32685048904805,Medium Exposure
18,1793,5535549.67,52738.14454382269,37006.0,43060.27818850193,32129.0,47267.725518967294,30001.0,715.5865827087772,0.0,5470.419024855395,0.0,4753.612206912056,5.0,8208.423019177786,3031.0,655.2852203546391,0.0,0.5431830484754758,1.860467273162414,0.4814127157854588,14077.250635385002,Indiana,0.11729661066145244,0.09013612913442656,1.0272008167471267,0.856125506536002,0.3807804442350318,-0.16767721681134565,0.09803676642363525,-0.7978861229508766,-0.030563516513302913,Medium Exposure
19,1238,2605349.6,52426.75819282372,40000.0,43325.15868138003,34263.0,47407.13878677165,35000.0,598.6176472209333,0.0,5019.61940605207,0.0,4880.118537742498,15.0,8039.024760696222,3880.0,592.9641775637326,0.0,0.5058642112833706,1.186009739345537,0.3497822326800212,16198.374714255811,Iowa,0.10716354104156757,0.09308449932749224,1.181976805515938,0.7973062770256241,-0.0865484120936089,0.011860991485910945,0.8140171570904692,-2.145075325217902,-0.705291305126371,Low Exposure
20,1361,2321403.69,59420.16875580569,38975.0,47873.24645516093,33734.0,53953.258376827165,33062.0,822.5728647480526,0.0,5466.910378978505,0.0,6311.948879003463,12.0,10129.99966509918,3366.0,600.4425252464383,0.0,0.562819232584892,2.602586541076791,0.7285983938450619,15792.12353102756,Kansas,0.10584761664972618,0.10622569762370036,1.152333123093491,0.8870746278576094,-0.1472377652830312,0.8120818058630045,0.6768880358975824,-0.08903083172736137,-0.3942180658432586,Medium Exposure
21,1173,3617874.38,49001.11237341524,28527.0,40756.37886335622,25947.0,43548.67319559891,22070.0,897.8202701996523,0.0,5452.43917781634,0.0,4924.42839821597,1.0,7442.608513499576,1646.0,540.7042815400351,0.0,0.6088164843629444,4.029060566774018,0.8796433114407913,10503.850476845948,Kentucky,0.12959418960989186,0.10049625732348964,0.7664539098057174,0.9595721415194833,0.9479346947404826,0.4631929694254243,-1.1081559627078639,1.5714442953609749,0.9090338456299094,High Exposure
22,2532,3609381.88,39839.99422372288,25001.0,34364.73931578833,24201.5,34992.306258064884,18000.0,900.1978590915959,0.0,4847.687965657987,0.0,2554.952830341688,0.0,5674.855885373924,1060.5,578.6276061318289,0.0,0.5870725261716079,4.056287887165876,0.3868224661226482,7734.176949675501,Louisiana,0.14427426350697062,0.06413035142510967,0.5643540123952762,0.9253009004104263,1.6249676573561773,-1.751274400872105,-2.0430526779715747,0.786499535717952,1.6016455507405405,High Exposure
23,764,1199784.9900000002,54401.9578667841,37196.5,44334.68537173481,33242.5,47732.41692591936,28015.0,891.5317212211496,0.0,6669.540940864746,0.0,4049.351299335725,20.0,8844.105635093832,2749.5,441.9743152812738,0.0,0.5438520223527062,4.089301867328745,0.5515996662035252,14856.115753897018,Maine,0.13898530417969418,0.074433925875453,1.0840337102284971,0.8571798943728659,1.381045192959562,-1.1238480009502747,0.36094083572535746,-0.7737365392067681,0.3889134591194271,Medium Exposure
