percentile,mean_income,n_persons,weighted_persons,snap_loss,medicaid_loss,nondiscr_loss,tariff_loss,total_loss,pct_of_income
19,3965.3935695127834,1156,2729534.39,94.07999999999998,146.40000000000003,366.1818181818182,460.7272727272727,1067.389090909091,26.917607853997655
20,5341.952279939188,1186,2734367.01,92.39999999999998,144.00000000000003,362.72727272727275,458.18181818181824,1057.309090909091,19.792559639284672
21,6761.265827355546,1190,2729333.55,90.71999999999998,141.60000000000002,359.27272727272725,455.63636363636357,1047.2290909090907,15.488654308962158
22,8339.763838047242,1234,2731430.37,89.04,139.20000000000002,355.8181818181818,453.0909090909091,1037.1490909090908,12.436192571514585
23,9753.515499638374,1171,2733247.6399999997,87.36,136.8,352.3636363636364,450.5454545454545,1027.0690909090908,10.530245130047428
24,10650.591089652022,1206,2730226.48,85.67999999999999,134.4,348.9090909090909,448.0,1016.9890909090909,9.548663377915096
25,11840.776119556447,1202,2732935.67,84.0,132.0,345.45454545454544,445.4545454545455,1006.909090909091,8.503742328562915
26,12639.65719162818,1208,2728815.3,82.32,129.6,342.0,442.90909090909093,996.8290909090908,7.886519988606465
27,13719.553329425755,1145,2731137.04,80.64,127.19999999999999,338.5454545454545,440.3636363636364,986.7490909090908,7.192282920703455
28,14714.655186016389,1145,2731122.3,78.96,124.8,335.09090909090907,437.8181818181818,976.6690909090908,6.637390265435765
29,15293.102475364158,1151,2734519.6799999997,77.28,122.39999999999999,331.6363636363636,435.2727272727273,966.5890909090908,6.320425122804092
30,16326.225913623368,1204,2730049.48,75.6,120.0,328.1818181818182,432.72727272727275,956.5090909090909,5.8587275220229245
31,17425.102082127214,1168,2731142.44,73.91999999999999,117.60000000000001,324.72727272727275,430.1818181818182,946.429090909091,5.43141203103674
32,18440.782790073525,1191,2732848.63,72.24,115.2,321.2727272727273,427.6363636363636,936.3490909090909,5.077599479199535
33,19637.570816888892,1156,2730968.46,70.55999999999999,112.80000000000001,317.8181818181818,425.0909090909091,926.2690909090909,4.7168211361074865
34,20026.806557022242,1133,2730953.9800000004,68.87999999999998,110.39999999999999,314.3636363636364,422.54545454545456,916.189090909091,4.5748137043239
35,20950.767538850534,1162,2732281.6799999997,67.19999999999999,108.0,310.90909090909093,420.0,906.1090909090909,4.324944607536821
36,22129.596759341133,1164,2731509.3499999996,65.51999999999998,105.60000000000001,307.4545454545455,417.45454545454544,896.0290909090909,4.049007763916293
37,23298.772083428066,1155,2732410.92,63.83999999999999,103.2,304.0,414.90909090909093,885.949090909091,3.8025570091706604
38,24234.868721468716,1135,2731801.51,62.16,100.80000000000001,300.54545454545456,412.3636363636364,875.8690909090909,3.6140863850984797
39,25001.067319982507,1145,2731381.2800000003,60.48,98.4,297.0909090909091,409.8181818181818,865.7890909090909,3.4630085181087247
40,25669.931870291806,1111,2729772.59,58.79999999999999,96.0,293.6363636363636,407.27272727272725,855.7090909090908,3.333507448453401
41,26642.534508779416,1144,2733734.91,57.11999999999999,93.6,290.1818181818182,404.7272727272727,845.6290909090908,3.173981404173217
42,27884.04647794353,1156,2729876.1599999997,55.43999999999999,91.20000000000002,286.72727272727275,402.1818181818182,835.5490909090909,2.996513047595211
43,29118.36854432566,1130,2731672.8,53.759999999999984,88.80000000000001,283.27272727272725,399.6363636363636,825.4690909090909,2.8348741092843652
44,29999.999999999996,1131,2730608.0500000003,52.08,86.4,279.8181818181818,397.09090909090907,815.3890909090909,2.7179636363636366
45,30072.076531853498,1160,2730920.2699999996,50.4,84.00000000000001,276.3636363636364,394.5454545454545,805.3090909090909,2.677929773343309
46,31228.541859092125,1174,2730858.32,48.71999999999999,81.6,272.9090909090909,392.0,795.2290909090909,2.5464816593015587
47,32393.421701118325,1160,2731926.12,47.03999999999999,79.2,269.45454545454544,389.45454545454544,785.1490909090909,2.423791775235603
48,33857.21354470912,1170,2734275.33,45.35999999999999,76.80000000000001,266.0,386.9090909090909,775.0690909090908,2.28922882234711
49,34998.503578353804,1138,2731325.78,43.679999999999986,74.4,262.54545454545456,384.3636363636363,764.9890909090909,2.1857765695509004
50,35625.261601524915,1161,2730098.65,41.99999999999999,72.00000000000001,259.0909090909091,381.8181818181818,754.909090909091,2.1190275017567246
51,36811.322359046266,1124,2732814.73,40.31999999999999,69.60000000000001,255.63636363636363,379.27272727272725,744.8290909090908,2.0233695590836374
