fiscal_year,CBO_OUTLAYS_nominal,CBO_OUTLAYS_real2024,CBO_MAND_Total_nominal,CBO_MAND_Total_real2024,CBO_MAND_Social_Security_nominal,CBO_MAND_Social_Security_real2024,CBO_MAND_Medicaid_nominal,CBO_MAND_Medicaid_real2024,CBO_MAND_Income_securityᵇ_nominal,CBO_MAND_Income_securityᵇ_real2024,CBO_OUT_Net_interest_nominal,CBO_OUT_Net_interest_real2024,CBO_REVENUES_nominal,CBO_REVENUES_real2024,CBO_REV_Individual_income_taxes_nominal,CBO_REV_Individual_income_taxes_real2024,CBO_REV_Corporate_income_taxes_nominal,CBO_REV_Corporate_income_taxes_real2024,CBO_REV_Payroll_taxes_nominal,CBO_REV_Payroll_taxes_real2024,CBO_REV_Customs_duties_nominal,CBO_REV_Customs_duties_real2024,CBO_REV_Excise_taxes_nominal,CBO_REV_Excise_taxes_real2024,CBO_DEBT_HELD_nominal,CBO_DEBT_HELD_real2024,CBO_OUT_GDP_Net_interest,CBO_REV_GDP_Customs_duties,CBO_REV_GDP_Individual_income_taxes,CBO_REV_GDP_Corporate_income_taxes,CBO_MAND_GDP_Total
2011,3603.065,5032.657689806356,2025.967,2829.812507363568,724.923,1012.5516221515551,274.964,384.0618165422813,404.039,564.3500687141836,229.962,321.2043156765834,2303.466,3217.415139085053,1091.473,1524.5381325804592,181.085,252.93432612472546,818.792,1143.6651448563725,29.519,41.23129123271265,72.381,101.09970157237625,10128.187,14146.760657758536,1.487,0.191,7.057,1.171,13.099
2012,3526.563,4808.972344439431,2030.451,2768.8099449065244,767.714,1046.8876904904218,250.534,341.6388924121839,353.588,482.16774046731894,220.408,300.55778855877696,2449.99,3340.91129356066,1132.206,1543.9245923604344,242.289,330.39565729064964,845.314,1152.7063739872146,30.307,41.327923205377544,79.061,107.81096566932901,11281.131,15383.433386273928,1.368,0.188,7.028,1.504,12.604
2013,3454.881,4635.199494804704,2031.635,2725.718635642604,807.841,1083.8301507584565,265.392,356.05998132069095,339.507,455.49547868151194,220.885,296.34770066174116,2775.106,3723.1875509545785,1316.405,1766.1389179420032,273.506,366.9460317232505,947.82,1271.6312906771013,31.815,42.684211678263786,84.007,112.70698005519114,11982.713,16076.462617378069,1.324,0.191,7.888,1.639,12.174
2014,3506.284,4628.824758623684,2098.462,2770.2869649551985,844.876,1115.3639998262959,301.472,397.9885992212266,310.898,410.43234370250275,228.956,302.2565204174688,3021.491,3988.824735463138,1394.568,1841.0405106900394,320.731,423.4133896906619,1023.458,1351.1192275957903,33.926,44.78744698406265,93.368,123.2598700114355,12779.899,16871.39801108811,1.314,0.195,8.002,1.84,12.041
2015,3691.85,4858.752283826233,2296.529,3022.4048982551226,881.891,1160.6348877489065,349.762,460.31309947468907,301.012,396.15443272589675,223.181,293.72298263922494,3249.89,4277.099681645797,1540.802,2027.8113239768752,343.797,452.4627108150677,1065.257,1401.9583356885794,35.041,46.11659162142422,98.279,129.34255609034992,13116.692,17262.553248708715,1.229,0.193,8.483,1.893,12.643
2016,3852.615,5024.357802043266,2427.328,3165.580878161477,910.282,1187.1371701453554,368.28,480.28948943418794,303.705,396.07450686599884,240.033,313.0371647044543,3267.965,4261.891064784393,1546.075,2016.301651941355,299.571,390.68318301099475,1115.065,1454.203322298069,34.838,45.43370596532052,95.026,123.92741670189298,14167.624,18476.596332832487,1.288,0.187,8.294,1.607,13.021
2017,3981.634,5087.972812246572,2518.774,3218.6418018817267,939.204,1200.1716926149488,374.682,478.7913276906341,293.754,375.37663318343164,262.551,335.50355201611944,3316.184,4237.620542824149,1587.12,2028.1179560383448,297.048,379.5859056689339,1161.897,1484.7422808401916,34.574,44.18074891127939,83.823,107.11410065338612,14665.439,18740.385206591203,1.355,0.178,8.192,1.533,13.0
2018,4108.981,5126.943673868183,2522.49,3147.4139568656446,982.015,1225.3002853733478,389.157,485.56710758495126,285.184,355.83574241117793,324.975,405.4846007843096,3329.907,4154.861175610055,1683.538,2100.6192286644045,204.733,255.45373881798307,1170.701,1460.7315258798121,41.299,51.5304516587159,94.986,118.51791765550712,15749.567,19651.3789907554,1.59,0.202,8.238,1.002,12.343
2019,4446.952,5447.709241686596,2733.795,3349.017548733741,1038.489,1272.1941056907904,409.421,501.5584979196015,302.517,370.59645722897477,375.158,459.58483556662185,3463.364,4242.771244242046,1717.857,2104.4493969793266,230.245,282.0601199095763,1243.113,1522.8673883956358,70.784,86.71347272548569,98.914,121.17394384562459,16800.7,20581.58681649903,1.762,0.333,8.07,1.082,12.843
2020,6553.62,7913.465388815943,4580.268,5530.652111276092,1089.889,1316.0358518118564,458.468,553.597958056718,1050.897,1268.953194831331,345.47,417.1534034433251,3421.164,4131.039471843517,1608.663,1942.453021806089,211.845,255.80184314832314,1309.955,1581.7645138726975,68.551,82.77501073738205,86.78,104.7864426746512,21016.669,25377.529170092406,1.619,0.321,7.539,0.993,21.467
2021,6822.461,7975.430251713072,4833.716,5650.595117302906,1128.827,1319.59435235328,520.588,608.5653379152778,1376.242,1608.8215206328186,352.338,411.8817453156684,4047.111,4731.056945791371,2044.377,2389.868725040189,371.831,434.66898615099785,1314.088,1536.1637374860957,79.985,93.50215247595699,75.274,87.99501188316793,22284.04,26049.955689945924,1.529,0.347,8.872,1.614,20.976
2022,6273.261,6794.779202399857,4132.823,4476.399079776816,1212.487,1313.285299428829,591.949,641.1597977640963,580.67,628.943134911416,475.887,515.449156394491,4897.339,5304.471977859954,2632.146,2850.965534269971,424.865,460.18551847717083,1483.527,1606.8578058203943,99.908,108.21370265853196,87.728,95.02113651386968,24253.445,26269.718998228956,1.861,0.391,10.296,1.662,16.166
2023,6134.673,6323.617105006346,3758.276,3874.0285584797803,1347.961,1389.4773586923802,615.772,634.7373938242459,448.1,461.90120072469125,658.267,678.5412133395232,4440.948,4577.726430609052,2176.481,2243.5152583228673,419.584,432.5069256970963,1614.456,1664.180238601165,80.338,82.81236032988227,75.802,78.13665435691374,26235.592,27043.631882443882,2.403,0.293,7.944,1.531,13.717
2024,6750.856,6750.856,4060.781,4060.781,1454.382,1454.382,617.517,617.517,370.185,370.185,879.879,879.879,4919.883,4919.883,2426.067,2426.067,529.867,529.867,1708.926,1708.926,77.036,77.036,101.436,101.436,28195.575,28195.575,3.04,0.266,8.381,1.83,14.028
2025,7009.986,6825.529497090033,4167.623,4057.9587062300625,1575.309,1533.857278250114,668.134,650.5531287806783,397.425,386.9674005598594,969.938,944.4156421066336,5234.616,5096.875502167827,2656.044,2586.1544755679965,452.089,440.1930053512141,1748.294,1702.2904562984181,194.866,189.7384147386238,105.936,103.14846460516894,30172.402,29378.463787097193,3.195,0.642,8.748,1.489,13.726
